Register;Hex;Name;SRAM_Ziel;Beschreibung;Write_Only;Persistence;Moegliche_Werte;Bemerkung
40000;0x9C40;rs485_unlock;0x200002B4;RS485-Steuerung aktivieren;Ja;SRAM;0x55AA=enable (flag=1); 0x55A1-0x55A6=Alt-Modi (1-6);Diskrepanz: Doku sagt 42000 sei RS485-Unlock - Code zeigt 40000 als write-only Unlock
41000;0xA028;command_register;0x20000348;Kommando-Status setzen;Nein;SRAM;0x55AA=Status 1; 0xAA11=Status 2;Lesen liefert aktuellen Status-Byte zurueck
41100;0xA08C;modbus_slave_address;0x20000133;Modbus Slave-Adresse aendern;Nein;SRAM;1-127 (beliebiger Wert wird via FUN_08006ebc angewendet);Wirkt sofort auf Modbus-Stack
41200;0xA0F0;backup_ups_enable;0x20014CFC;Backup/UPS-Funktion ein/aus;Nein;EEPROM 0x300;0=deaktivieren (schreibt 0x01 intern); 1=aktivieren (schreibt 0x00 intern);Lesen: invertiert (intern 0x01 → gibt 0 zurueck)
41500;0xA21C;schedule_time_00;0x20014DC2;Zeitplan-Zeiteinstellung Index 0;Nein;SRAM;u16 Wert;Array von 16 Zeiteinstellungs-Registern (41500-41515)
41501;0xA21D;schedule_time_01;0x20014DC4;Zeitplan-Zeiteinstellung Index 1;Nein;SRAM;u16 Wert;
41502;0xA21E;schedule_time_02;0x20014DC6;Zeitplan-Zeiteinstellung Index 2;Nein;SRAM;u16 Wert;
41503;0xA21F;schedule_time_03;0x20014DC8;Zeitplan-Zeiteinstellung Index 3;Nein;SRAM;u16 Wert;
41504;0xA220;schedule_time_04;0x20014DCA;Zeitplan-Zeiteinstellung Index 4;Nein;SRAM;u16 Wert;Unrecovered Jump-Table im Decompiler
41505;0xA221;schedule_time_05;0x20014DCC;Zeitplan-Zeiteinstellung Index 5;Nein;SRAM;u16 Wert;Unrecovered Jump-Table im Decompiler
41506;0xA222;schedule_time_06;0x20014DCE;Zeitplan-Zeiteinstellung Index 6;Nein;SRAM;u16 Wert;Unrecovered Jump-Table im Decompiler
41507;0xA223;schedule_time_07;0x20014DD0;Zeitplan-Zeiteinstellung Index 7;Nein;SRAM;u16 Wert;Unrecovered Jump-Table im Decompiler
41508;0xA224;schedule_time_08;0x20014DD2;Zeitplan-Zeiteinstellung Index 8;Nein;SRAM;u16 Wert;
41509;0xA225;schedule_time_09;0x20014DD4;Zeitplan-Zeiteinstellung Index 9;Nein;SRAM;u16 Wert;
41510;0xA226;schedule_time_10;0x20014DD6;Zeitplan-Zeiteinstellung Index 10;Nein;SRAM;u16 Wert;
41511;0xA227;schedule_time_11;0x20014DD8;Zeitplan-Zeiteinstellung Index 11;Nein;SRAM;u16 Wert;
41512;0xA228;schedule_time_12;0x20014DDA;Zeitplan-Zeiteinstellung Index 12;Nein;SRAM;u16 Wert;
41513;0xA229;schedule_time_13;0x20014DDC;Zeitplan-Zeiteinstellung Index 13;Nein;SRAM;u16 Wert;
41514;0xA22A;schedule_time_14;0x20014DDE;Zeitplan-Zeiteinstellung Index 14;Nein;SRAM;u16 Wert;
41515;0xA22B;schedule_time_15;0x20014DE0;Zeitplan-Zeiteinstellung Index 15;Nein;SRAM;u16 Wert;
41600;0xA280;schedule_power_00;0x20014DE2;Zeitplan-Leistung Index 0;Nein;SRAM;u16 Wert;Array von 32 Leistungs-Registern (41600-41631). Low-Byte=0 oder Reg 41631 triggert Schedule-Neuberechnung
41601;0xA281;schedule_power_01;0x20014DE4;Zeitplan-Leistung Index 1;Nein;SRAM;u16 Wert;
41602;0xA282;schedule_power_02;0x20014DE6;Zeitplan-Leistung Index 2;Nein;SRAM;u16 Wert;
41603;0xA283;schedule_power_03;0x20014DE8;Zeitplan-Leistung Index 3;Nein;SRAM;u16 Wert;
41604;0xA284;schedule_power_04;0x20014DEA;Zeitplan-Leistung Index 4;Nein;SRAM;u16 Wert;
41605;0xA285;schedule_power_05;0x20014DEC;Zeitplan-Leistung Index 5;Nein;SRAM;u16 Wert;
41606;0xA286;schedule_power_06;0x20014DEE;Zeitplan-Leistung Index 6;Nein;SRAM;u16 Wert;
41607;0xA287;schedule_power_07;0x20014DF0;Zeitplan-Leistung Index 7;Nein;SRAM;u16 Wert;
41608;0xA288;schedule_power_08;0x20014DF2;Zeitplan-Leistung Index 8;Nein;SRAM;u16 Wert;
41609;0xA289;schedule_power_09;0x20014DF4;Zeitplan-Leistung Index 9;Nein;SRAM;u16 Wert;
41610;0xA28A;schedule_power_10;0x20014DF6;Zeitplan-Leistung Index 10;Nein;SRAM;u16 Wert;
41611;0xA28B;schedule_power_11;0x20014DF8;Zeitplan-Leistung Index 11;Nein;SRAM;u16 Wert;
41612;0xA28C;schedule_power_12;0x20014DFA;Zeitplan-Leistung Index 12;Nein;SRAM;u16 Wert;
41613;0xA28D;schedule_power_13;0x20014DFC;Zeitplan-Leistung Index 13;Nein;SRAM;u16 Wert;
41614;0xA28E;schedule_power_14;0x20014DFE;Zeitplan-Leistung Index 14;Nein;SRAM;u16 Wert;
41615;0xA28F;schedule_power_15;0x20014E00;Zeitplan-Leistung Index 15;Nein;SRAM;u16 Wert;
41616;0xA290;schedule_power_16;0x20014E02;Zeitplan-Leistung Index 16;Nein;SRAM;u16 Wert;
41617;0xA291;schedule_power_17;0x20014E04;Zeitplan-Leistung Index 17;Nein;SRAM;u16 Wert;
41618;0xA292;schedule_power_18;0x20014E06;Zeitplan-Leistung Index 18;Nein;SRAM;u16 Wert;
41619;0xA293;schedule_power_19;0x20014E08;Zeitplan-Leistung Index 19;Nein;SRAM;u16 Wert;
41620;0xA294;schedule_power_20;0x20014E0A;Zeitplan-Leistung Index 20;Nein;SRAM;u16 Wert;
41621;0xA295;schedule_power_21;0x20014E0C;Zeitplan-Leistung Index 21;Nein;SRAM;u16 Wert;
41622;0xA296;schedule_power_22;0x20014E0E;Zeitplan-Leistung Index 22;Nein;SRAM;u16 Wert;
41623;0xA297;schedule_power_23;0x20014E10;Zeitplan-Leistung Index 23;Nein;SRAM;u16 Wert;
41624;0xA298;schedule_power_24;0x20014E12;Zeitplan-Leistung Index 24;Nein;SRAM;u16 Wert;
41625;0xA299;schedule_power_25;0x20014E14;Zeitplan-Leistung Index 25;Nein;SRAM;u16 Wert;
41626;0xA29A;schedule_power_26;0x20014E16;Zeitplan-Leistung Index 26;Nein;SRAM;u16 Wert;
41627;0xA29B;schedule_power_27;0x20014E18;Zeitplan-Leistung Index 27;Nein;SRAM;u16 Wert;
41628;0xA29C;schedule_power_28;0x20014E1A;Zeitplan-Leistung Index 28;Nein;SRAM;u16 Wert;
41629;0xA29D;schedule_power_29;0x20014E1C;Zeitplan-Leistung Index 29;Nein;SRAM;u16 Wert;
41630;0xA29E;schedule_power_30;0x20014E1E;Zeitplan-Leistung Index 30;Nein;SRAM;u16 Wert;
41631;0xA29F;schedule_power_31;0x20014E20;Zeitplan-Leistung Index 31 (letzter);Nein;SRAM;u16 Wert;Schreiben triggert immer Schedule-Neuberechnung
42000;0xA410;update_mode_status;0x20014CFD;Update/Modus-Status (lesen und schreiben);Nein;EEPROM 0x301 (bei 0x55BB);0x55AA=Modus auf 0x0A setzen; 0x55BB=Modus aus EEPROM 0x301 wiederherstellen;Lesen: 0x55AA wenn mode=0x0A / 0x55FF wenn mode=0x04 / 0x55BB sonst. ACHTUNG: teilt SRAM-Byte mit Reg 43000!
42010;0xA41A;force_mode;0x20000349;Lade-/Entlade-Zwangsmodus;Nein;SRAM;0=keine Vorgabe; 1=Laden erzwingen; 2=Entladen erzwingen;RS485-Steuerungsregister
42011;0xA41B;charge_target_soc;0x2000034A;Lade-Ziel-SOC in Prozent;Nein;SRAM;13-100 (%);Werte <13 oder >100 werden abgelehnt (Error 3)
42020;0xA424;charge_power_limit;0x2000034C;Lade-Leistungsvorgabe;Nein;SRAM;0-2500 (W);Werte >2500 -> Error 3. v150-BEWIESEN: force_mode=1 (Laden) nutzt Feld SRAM +4 (Remote_Power_Command_Execute -> -wert). KORRIGIERT: fruehere Bezeichnung 'discharge' war vertauscht
42021;0xA425;discharge_power_limit;0x2000034E;Entlade-Leistungsvorgabe;Nein;SRAM;0-2500 (W);Werte >2500 -> Error 3. v150-BEWIESEN: force_mode=2 (Entladen) nutzt Feld SRAM +6 (Remote_Power_Command_Execute -> +wert). KORRIGIERT: fruehere Bezeichnung 'charge' war vertauscht
43000;0xA7F8;work_mode;0x20014CFD;Betriebsmodus / Inverter-Modus;Nein;EEPROM 0x301;0=Eigenverbrauch (intern 0x01); 1=Anti-Einspeisung (intern 0x00); 2=Handel (intern 0x05);ACHTUNG: teilt SRAM-Byte 0x20014CFD mit Reg 42000! Werte >2 werden abgelehnt
43100;0xA85C;slot1_days;0x20014CFE;Zeitplan Slot 1 — Tage/Typ;Nein;EEPROM (via Schedule-Persist);Byte-Wert (Wochentag-Bitmask o.ae.);Schedule-Struct Slot 0 Offset +0
43101;0xA85D;slot1_start_time;0x20014D02;Zeitplan Slot 1 — Startzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format: z.B. 0800=08:00 (HH<24 und MM<60);Schedule-Struct Slot 0 Offset +4. Setzt Enable-Flag auf 0
43102;0xA85E;slot1_end_time;0x20014D04;Zeitplan Slot 1 — Endzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format: z.B. 2300=23:00 (HH<24 und MM<60);Schedule-Struct Slot 0 Offset +6. Setzt Enable-Flag auf 0
43103;0xA85F;slot1_power;0x20014D00;Zeitplan Slot 1 — Leistung;Nein;EEPROM (via Schedule-Persist);-2500 bis +2500 (W, negativ=Laden);Schedule-Struct Slot 0 Offset +2. i16 signed
43104;0xA860;slot1_enable;0x20014CFF;Zeitplan Slot 1 — Aktivierung;Nein;EEPROM (via Schedule-Persist);0=deaktiviert; 1=aktiviert;Schedule-Struct Slot 0 Offset +1
43105;0xA861;slot2_days;0x20014D08;Zeitplan Slot 2 — Tage/Typ;Nein;EEPROM (via Schedule-Persist);Byte-Wert;Schedule-Struct Slot 1 Offset +0
43106;0xA862;slot2_start_time;0x20014D0C;Zeitplan Slot 2 — Startzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 1 Offset +4
43107;0xA863;slot2_end_time;0x20014D0E;Zeitplan Slot 2 — Endzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 1 Offset +6
43108;0xA864;slot2_power;0x20014D0A;Zeitplan Slot 2 — Leistung;Nein;EEPROM (via Schedule-Persist);-2500 bis +2500 W;Schedule-Struct Slot 1 Offset +2
43109;0xA865;slot2_enable;0x20014D09;Zeitplan Slot 2 — Aktivierung;Nein;EEPROM (via Schedule-Persist);0=deaktiviert; 1=aktiviert;Schedule-Struct Slot 1 Offset +1
43110;0xA866;slot3_days;0x20014D12;Zeitplan Slot 3 — Tage/Typ;Nein;EEPROM (via Schedule-Persist);Byte-Wert;Schedule-Struct Slot 2 Offset +0
43111;0xA867;slot3_start_time;0x20014D16;Zeitplan Slot 3 — Startzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 2 Offset +4
43112;0xA868;slot3_end_time;0x20014D18;Zeitplan Slot 3 — Endzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 2 Offset +6
43113;0xA869;slot3_power;0x20014D14;Zeitplan Slot 3 — Leistung;Nein;EEPROM (via Schedule-Persist);-2500 bis +2500 W;Schedule-Struct Slot 2 Offset +2
43114;0xA86A;slot3_enable;0x20014D13;Zeitplan Slot 3 — Aktivierung;Nein;EEPROM (via Schedule-Persist);0=deaktiviert; 1=aktiviert;Schedule-Struct Slot 2 Offset +1
43115;0xA86B;slot4_days;0x20014D1C;Zeitplan Slot 4 — Tage/Typ;Nein;EEPROM (via Schedule-Persist);Byte-Wert;Schedule-Struct Slot 3 Offset +0
43116;0xA86C;slot4_start_time;0x20014D20;Zeitplan Slot 4 — Startzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 3 Offset +4
43117;0xA86D;slot4_end_time;0x20014D22;Zeitplan Slot 4 — Endzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 3 Offset +6
43118;0xA86E;slot4_power;0x20014D1E;Zeitplan Slot 4 — Leistung;Nein;EEPROM (via Schedule-Persist);-2500 bis +2500 W;Schedule-Struct Slot 3 Offset +2
43119;0xA86F;slot4_enable;0x20014D1D;Zeitplan Slot 4 — Aktivierung;Nein;EEPROM (via Schedule-Persist);0=deaktiviert; 1=aktiviert;Schedule-Struct Slot 3 Offset +1
43120;0xA870;slot5_days;0x20014D26;Zeitplan Slot 5 — Tage/Typ;Nein;EEPROM (via Schedule-Persist);Byte-Wert;Schedule-Struct Slot 4 Offset +0
43121;0xA871;slot5_start_time;0x20014D2A;Zeitplan Slot 5 — Startzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 4 Offset +4
43122;0xA872;slot5_end_time;0x20014D2C;Zeitplan Slot 5 — Endzeit;Nein;EEPROM (via Schedule-Persist);HHMM-Format;Schedule-Struct Slot 4 Offset +6
43123;0xA873;slot5_power;0x20014D28;Zeitplan Slot 5 — Leistung;Nein;EEPROM (via Schedule-Persist);-2500 bis +2500 W;Schedule-Struct Slot 4 Offset +2
43124;0xA874;slot5_enable;0x20014D27;Zeitplan Slot 5 — Aktivierung;Nein;EEPROM (via Schedule-Persist);0=deaktiviert; 1=aktiviert;Schedule-Struct Slot 4 Offset +1
